time,rna_copies,label,filename,virus
2024-12-02,51183253223.7059,start,FluA-MER.csv,FLUA
2024-12-09,166945786707.019,start,FluA-MER.csv,FLUA
2024-12-16,2428869804249.88,start,FluA-MER.csv,FLUA
2025-01-13,662759144084.063,on going,FluA-MER.csv,FLUA
2025-01-20,1039461286997.52,on going,FluA-MER.csv,FLUA
2025-01-27,1444515489309.04,on going,FluA-MER.csv,FLUA
2025-02-03,1061467754220.46,on going,FluA-MER.csv,FLUA
2025-02-10,1473670159982.94,on going,FluA-MER.csv,FLUA
2025-02-17,1103494638611.62,on going,FluA-MER.csv,FLUA
2025-02-24,1237135529404.68,on going,FluA-MER.csv,FLUA
2025-03-03,1042962288186.0,on going,FluA-MER.csv,FLUA
2025-03-10,278284053002.415,on going,FluA-MER.csv,FLUA
2025-03-17,389989784361.399,on going,FluA-MER.csv,FLUA
2025-03-24,299735576547.143,end,FluA-MER.csv,FLUA
2025-04-07,114232790355.503,end,FluA-MER.csv,FLUA
2025-04-14,129601047689.435,end,FluA-MER.csv,FLUA
2025-04-21,0.0,end,FluA-MER.csv,FLUA
2025-04-28,0.0,end,FluA-MER.csv,FLUA
2025-05-05,0.0,end,FluA-MER.csv,FLUA
2025-05-12,0.0,none,FluA-MER.csv,FLUA
2025-05-19,0.0,none,FluA-MER.csv,FLUA
2025-05-26,0.0,none,FluA-MER.csv,FLUA
2025-06-02,0.0,none,FluA-MER.csv,FLUA
2025-06-09,0.0,none,FluA-MER.csv,FLUA
2025-06-16,0.0,none,FluA-MER.csv,FLUA
2025-06-23,0.0,none,FluA-MER.csv,FLUA
2024-09-30,0.0,none,FluA-MER.csv,FLUA
2024-10-07,0.0,none,FluA-MER.csv,FLUA
2024-10-14,0.0,none,FluA-MER.csv,FLUA
2024-10-21,0.0,start,FluA-MER.csv,FLUA
2024-10-28,59135207457.6707,start,FluA-MER.csv,FLUA
2024-11-04,0.0,start,FluA-MER.csv,FLUA
2024-11-11,0.0,start,FluA-MER.csv,FLUA
2024-11-18,0.0,start,FluA-MER.csv,FLUA
2024-11-25,0.0,start,FluA-MER.csv,FLUA
2024-12-02,51183253223.7059,start,FluA-MER.csv,FLUA
2024-12-09,166945786707.019,start,FluA-MER.csv,FLUA
2024-12-16,2428869804249.88,on going,FluA-MER.csv,FLUA
2025-01-13,662759144084.063,on going,FluA-MER.csv,FLUA
2025-01-20,1039461286997.52,on going,FluA-MER.csv,FLUA
2025-01-27,1444515489309.04,on going,FluA-MER.csv,FLUA
2025-02-03,1061467754220.46,on going,FluA-MER.csv,FLUA
2025-02-10,1473670159982.94,on going,FluA-MER.csv,FLUA
2025-02-17,1103494638611.62,on going,FluA-MER.csv,FLUA
2025-02-24,1237135529404.68,on going,FluA-MER.csv,FLUA
2025-03-03,1042962288186.0,on going,FluA-MER.csv,FLUA
2025-03-10,278284053002.415,on going,FluA-MER.csv,FLUA
2025-03-17,389989784361.399,on going,FluA-MER.csv,FLUA
2025-03-24,299735576547.143,on going,FluA-MER.csv,FLUA
2025-04-07,114232790355.503,end,FluA-MER.csv,FLUA
2025-04-14,129601047689.435,end,FluA-MER.csv,FLUA
2025-04-21,0.0,end,FluA-MER.csv,FLUA
2025-04-28,0.0,end,FluA-MER.csv,FLUA
2025-05-05,0.0,none,FluA-MER.csv,FLUA
2025-05-12,0.0,none,FluA-MER.csv,FLUA
2025-05-19,0.0,none,FluA-MER.csv,FLUA
2025-05-26,0.0,none,FluA-MER.csv,FLUA
2025-06-02,0.0,none,FluA-MER.csv,FLUA
2025-06-09,0.0,none,FluA-MER.csv,FLUA
2025-06-16,0.0,none,FluA-MER.csv,FLUA
2025-06-23,0.0,none,FluA-MER.csv,FLUA
2024-09-30,0.0,none,FluA-MER.csv,FLUA
2024-10-07,0.0,none,FluA-MER.csv,FLUA
2024-10-14,0.0,start,FluA-MER.csv,FLUA
2024-10-21,0.0,start,FluA-MER.csv,FLUA
2024-10-28,59135207457.6707,start,FluA-MER.csv,FLUA
2024-11-04,0.0,start,FluA-MER.csv,FLUA
2024-11-11,0.0,start,FluA-MER.csv,FLUA
2024-11-18,0.0,start,FluA-MER.csv,FLUA
2024-11-25,0.0,start,FluA-MER.csv,FLUA
2024-12-02,51183253223.7059,on going,FluA-MER.csv,FLUA
2024-12-09,166945786707.019,on going,FluA-MER.csv,FLUA
2024-12-16,2428869804249.88,on going,FluA-MER.csv,FLUA
2025-01-13,662759144084.063,on going,FluA-MER.csv,FLUA
2025-01-20,1039461286997.52,on going,FluA-MER.csv,FLUA
2025-01-27,1444515489309.04,on going,FluA-MER.csv,FLUA
2025-02-03,1061467754220.46,on going,FluA-MER.csv,FLUA
2025-02-10,1473670159982.94,on going,FluA-MER.csv,FLUA
2025-02-17,1103494638611.62,on going,FluA-MER.csv,FLUA
2025-02-24,1237135529404.68,on going,FluA-MER.csv,FLUA
2025-03-03,1042962288186.0,on going,FluA-MER.csv,FLUA
2025-03-10,278284053002.415,on going,FluA-MER.csv,FLUA
2025-03-17,389989784361.399,on going,FluA-MER.csv,FLUA
2025-03-24,299735576547.143,end,FluA-MER.csv,FLUA
2025-04-07,114232790355.503,end,FluA-MER.csv,FLUA
2025-04-14,129601047689.435,end,FluA-MER.csv,FLUA
2025-04-21,0.0,end,FluA-MER.csv,FLUA
2025-04-28,0.0,end,FluA-MER.csv,FLUA
2025-05-05,0.0,end,FluA-MER.csv,FLUA
2025-05-12,0.0,end,FluA-MER.csv,FLUA
2025-05-19,0.0,end,FluA-MER.csv,FLUA
2025-05-26,0.0,end,FluA-MER.csv,FLUA
2025-06-02,0.0,none,FluA-MER.csv,FLUA
2025-06-09,0.0,none,FluA-MER.csv,FLUA
2025-06-16,0.0,none,FluA-MER.csv,FLUA
2025-06-23,0.0,none,FluA-MER.csv,FLUA
2024-09-30,0.0,none,FluA-MER.csv,FLUA
2024-10-07,0.0,none,FluA-MER.csv,FLUA
2024-10-14,0.0,none,FluA-MER.csv,FLUA
2024-10-21,0.0,none,FluA-MER.csv,FLUA
2024-10-28,59135207457.6707,none,FluA-MER.csv,FLUA
2024-11-04,0.0,none,FluA-MER.csv,FLUA
2024-11-11,0.0,none,FluA-MER.csv,FLUA
2024-11-18,0.0,none,FluA-MER.csv,FLUA
2024-11-25,0.0,start,FluA-MER.csv,FLUA
2024-12-02,51183253223.7059,start,FluA-MER.csv,FLUA
2024-12-09,166945786707.019,start,FluA-MER.csv,FLUA
2024-12-16,2428869804249.88,start,FluA-MER.csv,FLUA
2025-01-13,662759144084.063,on going,FluA-MER.csv,FLUA
2025-01-20,1039461286997.52,on going,FluA-MER.csv,FLUA
2025-01-27,1444515489309.04,on going,FluA-MER.csv,FLUA
2025-02-03,1061467754220.46,on going,FluA-MER.csv,FLUA
2025-02-10,1473670159982.94,on going,FluA-MER.csv,FLUA
2025-02-17,1103494638611.62,on going,FluA-MER.csv,FLUA
2025-02-24,1237135529404.68,on going,FluA-MER.csv,FLUA
2025-03-03,1042962288186.0,on going,FluA-MER.csv,FLUA
2025-03-10,278284053002.415,on going,FluA-MER.csv,FLUA
2025-03-17,389989784361.399,end,FluA-MER.csv,FLUA
2025-03-24,299735576547.143,end,FluA-MER.csv,FLUA
2025-04-07,114232790355.503,end,FluA-MER.csv,FLUA
2025-04-14,129601047689.435,end,FluA-MER.csv,FLUA
2025-04-21,0.0,end,FluA-MER.csv,FLUA
2025-04-28,0.0,end,FluA-MER.csv,FLUA
2025-05-05,0.0,end,FluA-MER.csv,FLUA
2025-05-12,0.0,none,FluA-MER.csv,FLUA
2025-05-19,0.0,none,FluA-MER.csv,FLUA
2025-05-26,0.0,none,FluA-MER.csv,FLUA
2025-06-02,0.0,none,FluA-MER.csv,FLUA
2025-06-09,0.0,none,FluA-MER.csv,FLUA
2025-06-16,0.0,none,FluA-MER.csv,FLUA
2025-06-23,0.0,none,FluA-MER.csv,FLUA
2024-09-30,0.0,none,FluA-MER.csv,FLUA
2024-10-07,0.0,none,FluA-MER.csv,FLUA
2024-10-14,0.0,none,FluA-MER.csv,FLUA
2024-10-21,0.0,none,FluA-MER.csv,FLUA
2024-10-28,59135207457.6707,none,FluA-MER.csv,FLUA
2024-11-04,0.0,none,FluA-MER.csv,FLUA
2024-11-11,0.0,start,FluA-MER.csv,FLUA
2024-11-18,0.0,start,FluA-MER.csv,FLUA
2024-11-25,0.0,start,FluA-MER.csv,FLUA
2024-12-02,51183253223.7059,start,FluA-MER.csv,FLUA
2024-12-09,166945786707.019,start,FluA-MER.csv,FLUA
2024-12-16,2428869804249.88,start,FluA-MER.csv,FLUA
2025-01-13,662759144084.063,on going,FluA-MER.csv,FLUA
2025-01-20,1039461286997.52,on going,FluA-MER.csv,FLUA
2025-01-27,1444515489309.04,on going,FluA-MER.csv,FLUA
2025-02-03,1061467754220.46,on going,FluA-MER.csv,FLUA
2025-02-10,1473670159982.94,on going,FluA-MER.csv,FLUA
2025-02-17,1103494638611.62,on going,FluA-MER.csv,FLUA
2025-02-24,1237135529404.68,on going,FluA-MER.csv,FLUA
2025-03-03,1042962288186.0,on going,FluA-MER.csv,FLUA
2025-03-10,278284053002.415,on going,FluA-MER.csv,FLUA
2025-03-17,389989784361.399,end,FluA-MER.csv,FLUA
2025-03-24,299735576547.143,end,FluA-MER.csv,FLUA
2025-04-07,114232790355.503,end,FluA-MER.csv,FLUA
2025-04-14,129601047689.435,end,FluA-MER.csv,FLUA
2025-04-21,0.0,end,FluA-MER.csv,FLUA
2025-04-28,0.0,end,FluA-MER.csv,FLUA
2025-05-05,0.0,none,FluA-MER.csv,FLUA
2025-05-12,0.0,none,FluA-MER.csv,FLUA
2025-05-19,0.0,none,FluA-MER.csv,FLUA
2025-05-26,0.0,none,FluA-MER.csv,FLUA
2025-06-02,0.0,none,FluA-MER.csv,FLUA
2025-06-09,0.0,none,FluA-MER.csv,FLUA
2025-06-16,0.0,none,FluA-MER.csv,FLUA
2025-06-23,0.0,none,FluA-MER.csv,FLUA
2024-09-30,0.0,none,FluA-MER.csv,FLUA
2024-10-07,0.0,none,FluA-MER.csv,FLUA
2024-10-14,0.0,none,FluA-MER.csv,FLUA
2024-10-21,0.0,none,FluA-MER.csv,FLUA
2024-10-28,59135207457.6707,start,FluA-MER.csv,FLUA
2024-11-04,0.0,start,FluA-MER.csv,FLUA
2024-11-11,0.0,start,FluA-MER.csv,FLUA
2024-11-18,0.0,start,FluA-MER.csv,FLUA
2024-11-25,0.0,start,FluA-MER.csv,FLUA
2024-12-02,51183253223.7059,start,FluA-MER.csv,FLUA
2024-12-09,166945786707.019,on going,FluA-MER.csv,FLUA
2024-12-16,2428869804249.88,on going,FluA-MER.csv,FLUA
2025-01-13,662759144084.063,on going,FluA-MER.csv,FLUA
2025-01-20,1039461286997.52,on going,FluA-MER.csv,FLUA
2025-01-27,1444515489309.04,on going,FluA-MER.csv,FLUA
2025-02-03,1061467754220.46,on going,FluA-MER.csv,FLUA
2025-02-10,1473670159982.94,on going,FluA-MER.csv,FLUA
2025-02-17,1103494638611.62,on going,FluA-MER.csv,FLUA
2025-02-24,1237135529404.68,on going,FluA-MER.csv,FLUA
2025-03-03,1042962288186.0,on going,FluA-MER.csv,FLUA
2025-03-10,278284053002.415,on going,FluA-MER.csv,FLUA
2025-03-17,389989784361.399,on going,FluA-MER.csv,FLUA
2025-03-24,299735576547.143,end,FluA-MER.csv,FLUA
2025-04-07,114232790355.503,end,FluA-MER.csv,FLUA
2025-04-14,129601047689.435,end,FluA-MER.csv,FLUA
2025-04-21,0.0,end,FluA-MER.csv,FLUA
2025-04-28,0.0,end,FluA-MER.csv,FLUA
2025-05-05,0.0,end,FluA-MER.csv,FLUA
2025-05-12,0.0,none,FluA-MER.csv,FLUA
2025-05-19,0.0,none,FluA-MER.csv,FLUA
2025-05-26,0.0,none,FluA-MER.csv,FLUA
2025-06-02,0.0,none,FluA-MER.csv,FLUA
2025-06-09,0.0,none,FluA-MER.csv,FLUA
2025-06-16,0.0,none,FluA-MER.csv,FLUA
2025-06-23,0.0,none,FluA-MER.csv,FLUA
