time,rna_copies,label,filename,virus
2024-10-07,0.0,none,Mov-FluB-UEB.csv,FLUB
2024-10-14,0.0,none,Mov-FluB-UEB.csv,FLUB
2024-10-21,0.0,start,Mov-FluB-UEB.csv,FLUB
2024-10-28,0.0,start,Mov-FluB-UEB.csv,FLUB
2024-11-04,0.0,start,Mov-FluB-UEB.csv,FLUB
2024-11-11,0.0,start,Mov-FluB-UEB.csv,FLUB
2024-11-18,0.0,start,Mov-FluB-UEB.csv,FLUB
2024-11-25,0.0,start,Mov-FluB-UEB.csv,FLUB
2024-12-02,0.0,start,Mov-FluB-UEB.csv,FLUB
2024-12-09,66829360138.34433,start,Mov-FluB-UEB.csv,FLUB
2024-12-16,157087467420.165,on going,Mov-FluB-UEB.csv,FLUB
2024-12-23,235631201130.2475,on going,Mov-FluB-UEB.csv,FLUB
2025-01-06,270774321845.462,on going,Mov-FluB-UEB.csv,FLUB
2025-01-13,406218890901.214,on going,Mov-FluB-UEB.csv,FLUB
2025-01-20,834371716847.1819,on going,Mov-FluB-UEB.csv,FLUB
2025-01-27,15594003188231.822,on going,Mov-FluB-UEB.csv,FLUB
2025-02-03,15685357987772.6,on going,Mov-FluB-UEB.csv,FLUB
2025-02-10,17156507969276.443,on going,Mov-FluB-UEB.csv,FLUB
2025-02-17,3024573827949.9097,on going,Mov-FluB-UEB.csv,FLUB
2025-02-24,3894713214850.34,on going,Mov-FluB-UEB.csv,FLUB
2025-03-03,2798991152356.6035,on going,Mov-FluB-UEB.csv,FLUB
2025-03-10,2019222354917.544,on going,Mov-FluB-UEB.csv,FLUB
2025-03-17,1057601447477.565,on going,Mov-FluB-UEB.csv,FLUB
2025-03-24,296113943299.93964,on going,Mov-FluB-UEB.csv,FLUB
2025-03-31,335743322170.336,on going,Mov-FluB-UEB.csv,FLUB
2025-04-07,274660138552.7613,on going,Mov-FluB-UEB.csv,FLUB
2025-04-14,473360336978.8023,end,Mov-FluB-UEB.csv,FLUB
2025-04-21,391761459652.2403,end,Mov-FluB-UEB.csv,FLUB
2025-04-28,317565067301.5137,end,Mov-FluB-UEB.csv,FLUB
2025-05-05,110260937596.52087,end,Mov-FluB-UEB.csv,FLUB
2025-05-12,26177997817.9162,end,Mov-FluB-UEB.csv,FLUB
2025-05-19,32776110127.68997,end,Mov-FluB-UEB.csv,FLUB
2025-05-26,6598112309.773767,end,Mov-FluB-UEB.csv,FLUB
2025-06-02,6598112309.773767,none,Mov-FluB-UEB.csv,FLUB
2025-06-09,0.0,none,Mov-FluB-UEB.csv,FLUB
2025-06-16,0.0,none,Mov-FluB-UEB.csv,FLUB
2025-06-23,0.0,none,Mov-FluB-UEB.csv,FLUB
2024-10-07,0.0,none,Mov-FluB-UEB.csv,FLUB
2024-10-14,0.0,none,Mov-FluB-UEB.csv,FLUB
2024-10-21,0.0,none,Mov-FluB-UEB.csv,FLUB
2024-10-28,0.0,none,Mov-FluB-UEB.csv,FLUB
2024-11-04,0.0,none,Mov-FluB-UEB.csv,FLUB
2024-11-11,0.0,none,Mov-FluB-UEB.csv,FLUB
2024-11-18,0.0,none,Mov-FluB-UEB.csv,FLUB
2024-11-25,0.0,start,Mov-FluB-UEB.csv,FLUB
2024-12-02,0.0,start,Mov-FluB-UEB.csv,FLUB
2024-12-09,66829360138.34433,start,Mov-FluB-UEB.csv,FLUB
2024-12-16,157087467420.165,start,Mov-FluB-UEB.csv,FLUB
2024-12-23,235631201130.2475,start,Mov-FluB-UEB.csv,FLUB
2025-01-06,270774321845.462,start,Mov-FluB-UEB.csv,FLUB
2025-01-13,406218890901.214,on going,Mov-FluB-UEB.csv,FLUB
2025-01-20,834371716847.1819,on going,Mov-FluB-UEB.csv,FLUB
2025-01-27,15594003188231.822,on going,Mov-FluB-UEB.csv,FLUB
2025-02-03,15685357987772.6,on going,Mov-FluB-UEB.csv,FLUB
2025-02-10,17156507969276.443,on going,Mov-FluB-UEB.csv,FLUB
2025-02-17,3024573827949.9097,on going,Mov-FluB-UEB.csv,FLUB
2025-02-24,3894713214850.34,on going,Mov-FluB-UEB.csv,FLUB
2025-03-03,2798991152356.6035,on going,Mov-FluB-UEB.csv,FLUB
2025-03-10,2019222354917.544,on going,Mov-FluB-UEB.csv,FLUB
