time,rna_copies,label,filename,virus
2025-06-23,0.0,none,RSV-UEB.csv,RSV
2024-09-30,0.0,none,RSV-UEB.csv,RSV
2024-10-07,0.0,none,RSV-UEB.csv,RSV
2024-10-14,0.0,none,RSV-UEB.csv,RSV
2024-10-21,0.0,none,RSV-UEB.csv,RSV
2024-10-28,0.0,none,RSV-UEB.csv,RSV
2024-11-04,70563786977.7219,start,RSV-UEB.csv,RSV
2024-11-11,272170992943.548,start,RSV-UEB.csv,RSV
2024-11-25,392191929007.09,start,RSV-UEB.csv,RSV
2024-12-02,392967740984.373,start,RSV-UEB.csv,RSV
2024-12-09,699751097117.7,start,RSV-UEB.csv,RSV
2024-12-16,1385815911676.29,start,RSV-UEB.csv,RSV
2025-01-13,731257583073.391,on going,RSV-UEB.csv,RSV
2025-01-20,682524678710.968,on going,RSV-UEB.csv,RSV
2025-01-27,1052940082273.18,on going,RSV-UEB.csv,RSV
2025-02-03,446369229863.247,on going,RSV-UEB.csv,RSV
2025-02-10,640312919124.48,on going,RSV-UEB.csv,RSV
2025-02-17,444852700929.488,on going,RSV-UEB.csv,RSV
2025-02-24,942997607015.226,on going,RSV-UEB.csv,RSV
2025-03-03,0.0,on going,RSV-UEB.csv,RSV
2025-03-10,361329034755.484,on going,RSV-UEB.csv,RSV
2025-03-17,354038716680.26,on going,RSV-UEB.csv,RSV
2025-03-24,149734403014.183,on going,RSV-UEB.csv,RSV
2025-03-31,156207619514.517,on going,RSV-UEB.csv,RSV
2025-04-07,199404880762.1,on going,RSV-UEB.csv,RSV
2025-04-14,96010353110.3226,on going,RSV-UEB.csv,RSV
2025-04-21,134182732211.005,end,RSV-UEB.csv,RSV
2025-04-28,0.0,end,RSV-UEB.csv,RSV
2025-05-05,0.0,end,RSV-UEB.csv,RSV
2025-05-12,0.0,end,RSV-UEB.csv,RSV
2025-05-19,73290501527.8887,end,RSV-UEB.csv,RSV
2025-05-26,0.0,end,RSV-UEB.csv,RSV
2025-06-02,0.0,none,RSV-UEB.csv,RSV
2025-06-09,0.0,none,RSV-UEB.csv,RSV
2025-06-16,0.0,none,RSV-UEB.csv,RSV
2025-06-23,0.0,none,RSV-UEB.csv,RSV
2024-09-30,0.0,none,RSV-UEB.csv,RSV
2024-10-07,0.0,none,RSV-UEB.csv,RSV
2024-10-14,0.0,start,RSV-UEB.csv,RSV
2024-10-21,0.0,start,RSV-UEB.csv,RSV
2024-10-28,0.0,start,RSV-UEB.csv,RSV
2024-11-04,70563786977.7219,start,RSV-UEB.csv,RSV
2024-11-11,272170992943.548,start,RSV-UEB.csv,RSV
2024-11-25,392191929007.09,on going,RSV-UEB.csv,RSV
2024-12-02,392967740984.373,on going,RSV-UEB.csv,RSV
2024-12-09,699751097117.7,on going,RSV-UEB.csv,RSV
2024-12-16,1385815911676.29,on going,RSV-UEB.csv,RSV
2025-01-13,731257583073.391,on going,RSV-UEB.csv,RSV
2025-01-20,682524678710.968,on going,RSV-UEB.csv,RSV
2025-01-27,1052940082273.18,on going,RSV-UEB.csv,RSV
2025-02-03,446369229863.247,on going,RSV-UEB.csv,RSV
2025-02-10,640312919124.48,on going,RSV-UEB.csv,RSV
2025-02-17,444852700929.488,on going,RSV-UEB.csv,RSV
2025-02-24,942997607015.226,on going,RSV-UEB.csv,RSV
2025-03-03,0.0,on going,RSV-UEB.csv,RSV
2025-03-10,361329034755.484,on going,RSV-UEB.csv,RSV
2025-03-17,354038716680.26,on going,RSV-UEB.csv,RSV
2025-03-24,149734403014.183,on going,RSV-UEB.csv,RSV
2025-03-31,156207619514.517,on going,RSV-UEB.csv,RSV
2025-04-07,199404880762.1,end,RSV-UEB.csv,RSV
2025-04-14,96010353110.3226,end,RSV-UEB.csv,RSV
2025-04-21,134182732211.005,end,RSV-UEB.csv,RSV
2025-04-28,0.0,end,RSV-UEB.csv,RSV
2025-05-05,0.0,end,RSV-UEB.csv,RSV
2025-05-12,0.0,end,RSV-UEB.csv,RSV
2025-05-19,73290501527.8887,end,RSV-UEB.csv,RSV
2025-05-26,0.0,end,RSV-UEB.csv,RSV
2025-06-02,0.0,end,RSV-UEB.csv,RSV
2025-06-09,0.0,none,RSV-UEB.csv,RSV
2025-06-16,0.0,none,RSV-UEB.csv,RSV
2025-06-23,0.0,none,RSV-UEB.csv,RSV
2024-09-30,0.0,start,RSV-UEB.csv,RSV
2024-10-07,0.0,start,RSV-UEB.csv,RSV
2024-10-14,0.0,start,RSV-UEB.csv,RSV
2024-10-21,0.0,start,RSV-UEB.csv,RSV
2024-10-28,0.0,start,RSV-UEB.csv,RSV
2024-11-04,70563786977.7219,start,RSV-UEB.csv,RSV
2024-11-11,272170992943.548,start,RSV-UEB.csv,RSV
2024-11-25,392191929007.09,on going,RSV-UEB.csv,RSV
2024-12-02,392967740984.373,on going,RSV-UEB.csv,RSV
2024-12-09,699751097117.7,on going,RSV-UEB.csv,RSV
2024-12-16,1385815911676.29,on going,RSV-UEB.csv,RSV
2025-01-13,731257583073.391,on going,RSV-UEB.csv,RSV
2025-01-20,682524678710.968,on going,RSV-UEB.csv,RSV
2025-01-27,1052940082273.18,on going,RSV-UEB.csv,RSV
2025-02-03,446369229863.247,on going,RSV-UEB.csv,RSV
2025-02-10,640312919124.48,on going,RSV-UEB.csv,RSV
2025-02-17,444852700929.488,on going,RSV-UEB.csv,RSV
2025-02-24,942997607015.226,on going,RSV-UEB.csv,RSV
2025-03-03,0.0,on going,RSV-UEB.csv,RSV
2025-03-10,361329034755.484,on going,RSV-UEB.csv,RSV
2025-03-17,354038716680.26,on going,RSV-UEB.csv,RSV
2025-03-24,149734403014.183,on going,RSV-UEB.csv,RSV
2025-03-31,156207619514.517,end,RSV-UEB.csv,RSV
2025-04-07,199404880762.1,end,RSV-UEB.csv,RSV
2025-04-14,96010353110.3226,end,RSV-UEB.csv,RSV
2025-04-21,134182732211.005,end,RSV-UEB.csv,RSV
2025-04-28,0.0,end,RSV-UEB.csv,RSV
2025-05-05,0.0,end,RSV-UEB.csv,RSV
2025-05-12,0.0,end,RSV-UEB.csv,RSV
2025-05-19,73290501527.8887,end,RSV-UEB.csv,RSV
2025-05-26,0.0,end,RSV-UEB.csv,RSV
2025-06-02,0.0,end,RSV-UEB.csv,RSV
2025-06-09,0.0,end,RSV-UEB.csv,RSV
2025-06-16,0.0,end,RSV-UEB.csv,RSV
2025-06-23,0.0,none,RSV-UEB.csv,RSV
2024-09-30,0.0,start,RSV-UEB.csv,RSV
2024-10-07,0.0,start,RSV-UEB.csv,RSV
2024-10-14,0.0,start,RSV-UEB.csv,RSV
2024-10-21,0.0,start,RSV-UEB.csv,RSV
2024-10-28,0.0,start,RSV-UEB.csv,RSV
2024-11-04,70563786977.7219,start,RSV-UEB.csv,RSV
2024-11-11,272170992943.548,start,RSV-UEB.csv,RSV
2024-11-25,392191929007.09,on going,RSV-UEB.csv,RSV
2024-12-02,392967740984.373,on going,RSV-UEB.csv,RSV
2024-12-09,699751097117.7,on going,RSV-UEB.csv,RSV
2024-12-16,1385815911676.29,on going,RSV-UEB.csv,RSV
2025-01-13,731257583073.391,on going,RSV-UEB.csv,RSV
2025-01-20,682524678710.968,on going,RSV-UEB.csv,RSV
2025-01-27,1052940082273.18,on going,RSV-UEB.csv,RSV
2025-02-03,446369229863.247,on going,RSV-UEB.csv,RSV
2025-02-10,640312919124.48,on going,RSV-UEB.csv,RSV
2025-02-17,444852700929.488,on going,RSV-UEB.csv,RSV
2025-02-24,942997607015.226,on going,RSV-UEB.csv,RSV
2025-03-03,0.0,on going,RSV-UEB.csv,RSV
2025-03-10,361329034755.484,on going,RSV-UEB.csv,RSV
2025-03-17,354038716680.26,on going,RSV-UEB.csv,RSV
2025-03-24,149734403014.183,on going,RSV-UEB.csv,RSV
2025-03-31,156207619514.517,on going,RSV-UEB.csv,RSV
2025-04-07,199404880762.1,on going,RSV-UEB.csv,RSV
2025-04-14,96010353110.3226,on going,RSV-UEB.csv,RSV
2025-04-21,134182732211.005,on going,RSV-UEB.csv,RSV
2025-04-28,0.0,end,RSV-UEB.csv,RSV
2025-05-05,0.0,end,RSV-UEB.csv,RSV
2025-05-12,0.0,end,RSV-UEB.csv,RSV
2025-05-19,73290501527.8887,end,RSV-UEB.csv,RSV
2025-05-26,0.0,end,RSV-UEB.csv,RSV
2025-06-02,0.0,none,RSV-UEB.csv,RSV
2025-06-09,0.0,none,RSV-UEB.csv,RSV
2025-06-16,0.0,none,RSV-UEB.csv,RSV
2025-06-23,0.0,none,RSV-UEB.csv,RSV
2024-09-30,0.0,start,RSV-UEB.csv,RSV
2024-10-07,0.0,start,RSV-UEB.csv,RSV
2024-10-14,0.0,on going,RSV-UEB.csv,RSV
2024-10-21,0.0,on going,RSV-UEB.csv,RSV
2024-10-28,0.0,on going,RSV-UEB.csv,RSV
2024-11-04,70563786977.7219,on going,RSV-UEB.csv,RSV
2024-11-11,272170992943.548,on going,RSV-UEB.csv,RSV
2024-11-25,392191929007.09,on going,RSV-UEB.csv,RSV
2024-12-02,392967740984.373,on going,RSV-UEB.csv,RSV
2024-12-09,699751097117.7,on going,RSV-UEB.csv,RSV
2024-12-16,1385815911676.29,on going,RSV-UEB.csv,RSV
2025-01-13,731257583073.391,on going,RSV-UEB.csv,RSV
2025-01-20,682524678710.968,on going,RSV-UEB.csv,RSV
2025-01-27,1052940082273.18,on going,RSV-UEB.csv,RSV
2025-02-03,446369229863.247,on going,RSV-UEB.csv,RSV
2025-02-10,640312919124.48,on going,RSV-UEB.csv,RSV
2025-02-17,444852700929.488,on going,RSV-UEB.csv,RSV
2025-02-24,942997607015.226,on going,RSV-UEB.csv,RSV
2025-03-03,0.0,on going,RSV-UEB.csv,RSV
2025-03-10,361329034755.484,on going,RSV-UEB.csv,RSV
2025-03-17,354038716680.26,on going,RSV-UEB.csv,RSV
2025-03-24,149734403014.183,on going,RSV-UEB.csv,RSV
2025-03-31,156207619514.517,end,RSV-UEB.csv,RSV
2025-04-07,199404880762.1,end,RSV-UEB.csv,RSV
2025-04-14,96010353110.3226,end,RSV-UEB.csv,RSV
2025-04-21,134182732211.005,end,RSV-UEB.csv,RSV
2025-04-28,0.0,end,RSV-UEB.csv,RSV
2025-05-05,0.0,end,RSV-UEB.csv,RSV
2025-05-12,0.0,end,RSV-UEB.csv,RSV
2025-05-19,73290501527.8887,end,RSV-UEB.csv,RSV
2025-05-26,0.0,end,RSV-UEB.csv,RSV
2025-06-02,0.0,none,RSV-UEB.csv,RSV
2025-06-09,0.0,none,RSV-UEB.csv,RSV
2025-06-16,0.0,none,RSV-UEB.csv,RSV
2025-06-23,0.0,none,RSV-UEB.csv,RSV
2024-09-30,0.0,none,RSV-UEB.csv,RSV
2024-10-07,0.0,none,RSV-UEB.csv,RSV
2024-10-14,0.0,none,RSV-UEB.csv,RSV
2024-10-21,0.0,none,RSV-UEB.csv,RSV
2024-10-28,0.0,none,RSV-UEB.csv,RSV
2024-11-04,70563786977.7219,start,RSV-UEB.csv,RSV
2024-11-11,272170992943.548,start,RSV-UEB.csv,RSV
2024-11-25,392191929007.09,start,RSV-UEB.csv,RSV
2024-12-02,392967740984.373,on going,RSV-UEB.csv,RSV
2024-12-09,699751097117.7,on going,RSV-UEB.csv,RSV
2024-12-16,1385815911676.29,on going,RSV-UEB.csv,RSV
2025-01-13,731257583073.391,on going,RSV-UEB.csv,RSV
2025-01-20,682524678710.968,on going,RSV-UEB.csv,RSV
2025-01-27,1052940082273.18,on going,RSV-UEB.csv,RSV
2025-02-03,446369229863.247,on going,RSV-UEB.csv,RSV
2025-02-10,640312919124.48,on going,RSV-UEB.csv,RSV
2025-02-17,444852700929.488,on going,RSV-UEB.csv,RSV
2025-02-24,942997607015.226,on going,RSV-UEB.csv,RSV
2025-03-03,0.0,on going,RSV-UEB.csv,RSV
2025-03-10,361329034755.484,on going,RSV-UEB.csv,RSV
2025-03-17,354038716680.26,on going,RSV-UEB.csv,RSV
2025-03-24,149734403014.183,on going,RSV-UEB.csv,RSV
2025-03-31,156207619514.517,end,RSV-UEB.csv,RSV
2025-04-07,199404880762.1,end,RSV-UEB.csv,RSV
2025-04-14,96010353110.3226,end,RSV-UEB.csv,RSV
2025-04-21,134182732211.005,end,RSV-UEB.csv,RSV
2025-04-28,0.0,end,RSV-UEB.csv,RSV
2025-05-05,0.0,end,RSV-UEB.csv,RSV
2025-05-12,0.0,none,RSV-UEB.csv,RSV
2025-05-19,73290501527.8887,none,RSV-UEB.csv,RSV
2025-05-26,0.0,none,RSV-UEB.csv,RSV
2025-06-02,0.0,none,RSV-UEB.csv,RSV
2025-06-09,0.0,none,RSV-UEB.csv,RSV
2025-06-16,0.0,none,RSV-UEB.csv,RSV
2025-06-23,0.0,none,RSV-UEB.csv,RSV
