time,rna_copies,label,filename,virus
2025-06-16,0.0,none,RSV-BLE.csv,RSV
2025-06-23,0.0,none,RSV-BLE.csv,RSV
2024-09-30,0.0,none,RSV-BLE.csv,RSV
2024-10-07,0.0,none,RSV-BLE.csv,RSV
2024-10-14,0.0,none,RSV-BLE.csv,RSV
2024-10-21,0.0,none,RSV-BLE.csv,RSV
2024-10-28,296109430234.177,none,RSV-BLE.csv,RSV
2024-11-04,241654928879.872,start,RSV-BLE.csv,RSV
2024-11-11,345920275554.972,start,RSV-BLE.csv,RSV
2024-11-25,595502562539.077,start,RSV-BLE.csv,RSV
2024-12-02,712796316316.433,start,RSV-BLE.csv,RSV
2024-12-09,1878531065680.93,start,RSV-BLE.csv,RSV
2024-12-16,1360966358823.07,start,RSV-BLE.csv,RSV
2025-01-13,456960470763.526,on going,RSV-BLE.csv,RSV
2025-01-20,503800165903.666,on going,RSV-BLE.csv,RSV
2025-01-27,1384054332881.77,on going,RSV-BLE.csv,RSV
2025-02-03,0.0,on going,RSV-BLE.csv,RSV
2025-02-10,172090210159.195,on going,RSV-BLE.csv,RSV
2025-02-17,496353163702.219,on going,RSV-BLE.csv,RSV
2025-02-24,695377724775.221,on going,RSV-BLE.csv,RSV
2025-03-03,0.0,on going,RSV-BLE.csv,RSV
2025-03-10,878234258486.233,on going,RSV-BLE.csv,RSV
2025-03-17,443698682905.284,on going,RSV-BLE.csv,RSV
2025-03-24,281820972264.102,on going,RSV-BLE.csv,RSV
2025-03-31,522753647553.122,on going,RSV-BLE.csv,RSV
2025-04-07,826274407559.755,on going,RSV-BLE.csv,RSV
2025-04-14,268265263647.617,on going,RSV-BLE.csv,RSV
2025-04-21,288057038531.965,end,RSV-BLE.csv,RSV
2025-04-28,292171769132.13,end,RSV-BLE.csv,RSV
2025-05-05,267214720823.446,end,RSV-BLE.csv,RSV
2025-05-12,207766526264.162,end,RSV-BLE.csv,RSV
2025-05-19,0.0,end,RSV-BLE.csv,RSV
2025-05-26,283720862315.073,end,RSV-BLE.csv,RSV
2025-06-02,0.0,none,RSV-BLE.csv,RSV
2025-06-09,0.0,none,RSV-BLE.csv,RSV
2025-06-16,0.0,none,RSV-BLE.csv,RSV
2025-06-23,0.0,none,RSV-BLE.csv,RSV
2024-09-30,0.0,none,RSV-BLE.csv,RSV
2024-10-07,0.0,none,RSV-BLE.csv,RSV
2024-10-14,0.0,start,RSV-BLE.csv,RSV
2024-10-21,0.0,start,RSV-BLE.csv,RSV
2024-10-28,296109430234.177,start,RSV-BLE.csv,RSV
2024-11-04,241654928879.872,start,RSV-BLE.csv,RSV
2024-11-11,345920275554.972,start,RSV-BLE.csv,RSV
2024-11-25,595502562539.077,on going,RSV-BLE.csv,RSV
2024-12-02,712796316316.433,on going,RSV-BLE.csv,RSV
2024-12-09,1878531065680.93,on going,RSV-BLE.csv,RSV
2024-12-16,1360966358823.07,on going,RSV-BLE.csv,RSV
2025-01-13,456960470763.526,on going,RSV-BLE.csv,RSV
2025-01-20,503800165903.666,on going,RSV-BLE.csv,RSV
2025-01-27,1384054332881.77,on going,RSV-BLE.csv,RSV
2025-02-03,0.0,on going,RSV-BLE.csv,RSV
2025-02-10,172090210159.195,on going,RSV-BLE.csv,RSV
2025-02-17,496353163702.219,on going,RSV-BLE.csv,RSV
2025-02-24,695377724775.221,on going,RSV-BLE.csv,RSV
2025-03-03,0.0,on going,RSV-BLE.csv,RSV
2025-03-10,878234258486.233,on going,RSV-BLE.csv,RSV
2025-03-17,443698682905.284,on going,RSV-BLE.csv,RSV
2025-03-24,281820972264.102,on going,RSV-BLE.csv,RSV
2025-03-31,522753647553.122,on going,RSV-BLE.csv,RSV
2025-04-07,826274407559.755,end,RSV-BLE.csv,RSV
2025-04-14,268265263647.617,end,RSV-BLE.csv,RSV
2025-04-21,288057038531.965,end,RSV-BLE.csv,RSV
2025-04-28,292171769132.13,end,RSV-BLE.csv,RSV
2025-05-05,267214720823.446,end,RSV-BLE.csv,RSV
2025-05-12,207766526264.162,end,RSV-BLE.csv,RSV
2025-05-19,0.0,end,RSV-BLE.csv,RSV
2025-05-26,283720862315.073,end,RSV-BLE.csv,RSV
2025-06-02,0.0,end,RSV-BLE.csv,RSV
2025-06-09,0.0,none,RSV-BLE.csv,RSV
2025-06-16,0.0,none,RSV-BLE.csv,RSV
2025-06-23,0.0,none,RSV-BLE.csv,RSV
2024-09-30,0.0,start,RSV-BLE.csv,RSV
2024-10-07,0.0,start,RSV-BLE.csv,RSV
2024-10-14,0.0,start,RSV-BLE.csv,RSV
2024-10-21,0.0,start,RSV-BLE.csv,RSV
2024-10-28,296109430234.177,start,RSV-BLE.csv,RSV
2024-11-04,241654928879.872,start,RSV-BLE.csv,RSV
2024-11-11,345920275554.972,start,RSV-BLE.csv,RSV
2024-11-25,595502562539.077,on going,RSV-BLE.csv,RSV
2024-12-02,712796316316.433,on going,RSV-BLE.csv,RSV
2024-12-09,1878531065680.93,on going,RSV-BLE.csv,RSV
2024-12-16,1360966358823.07,on going,RSV-BLE.csv,RSV
2025-01-13,456960470763.526,on going,RSV-BLE.csv,RSV
2025-01-20,503800165903.666,on going,RSV-BLE.csv,RSV
2025-01-27,1384054332881.77,on going,RSV-BLE.csv,RSV
2025-02-03,0.0,on going,RSV-BLE.csv,RSV
2025-02-10,172090210159.195,on going,RSV-BLE.csv,RSV
2025-02-17,496353163702.219,on going,RSV-BLE.csv,RSV
2025-02-24,695377724775.221,on going,RSV-BLE.csv,RSV
2025-03-03,0.0,on going,RSV-BLE.csv,RSV
2025-03-10,878234258486.233,on going,RSV-BLE.csv,RSV
2025-03-17,443698682905.284,on going,RSV-BLE.csv,RSV
2025-03-24,281820972264.102,on going,RSV-BLE.csv,RSV
2025-03-31,522753647553.122,end,RSV-BLE.csv,RSV
2025-04-07,826274407559.755,end,RSV-BLE.csv,RSV
2025-04-14,268265263647.617,end,RSV-BLE.csv,RSV
2025-04-21,288057038531.965,end,RSV-BLE.csv,RSV
2025-04-28,292171769132.13,end,RSV-BLE.csv,RSV
2025-05-05,267214720823.446,end,RSV-BLE.csv,RSV
2025-05-12,207766526264.162,end,RSV-BLE.csv,RSV
2025-05-19,0.0,end,RSV-BLE.csv,RSV
2025-05-26,283720862315.073,end,RSV-BLE.csv,RSV
2025-06-02,0.0,end,RSV-BLE.csv,RSV
2025-06-09,0.0,end,RSV-BLE.csv,RSV
2025-06-16,0.0,end,RSV-BLE.csv,RSV
2025-06-23,0.0,none,RSV-BLE.csv,RSV
2024-09-30,0.0,start,RSV-BLE.csv,RSV
2024-10-07,0.0,start,RSV-BLE.csv,RSV
2024-10-14,0.0,start,RSV-BLE.csv,RSV
2024-10-21,0.0,start,RSV-BLE.csv,RSV
2024-10-28,296109430234.177,start,RSV-BLE.csv,RSV
2024-11-04,241654928879.872,start,RSV-BLE.csv,RSV
2024-11-11,345920275554.972,start,RSV-BLE.csv,RSV
2024-11-25,595502562539.077,on going,RSV-BLE.csv,RSV
2024-12-02,712796316316.433,on going,RSV-BLE.csv,RSV
2024-12-09,1878531065680.93,on going,RSV-BLE.csv,RSV
2024-12-16,1360966358823.07,on going,RSV-BLE.csv,RSV
2025-01-13,456960470763.526,on going,RSV-BLE.csv,RSV
2025-01-20,503800165903.666,on going,RSV-BLE.csv,RSV
2025-01-27,1384054332881.77,on going,RSV-BLE.csv,RSV
2025-02-03,0.0,on going,RSV-BLE.csv,RSV
2025-02-10,172090210159.195,on going,RSV-BLE.csv,RSV
2025-02-17,496353163702.219,on going,RSV-BLE.csv,RSV
2025-02-24,695377724775.221,on going,RSV-BLE.csv,RSV
2025-03-03,0.0,on going,RSV-BLE.csv,RSV
2025-03-10,878234258486.233,on going,RSV-BLE.csv,RSV
2025-03-17,443698682905.284,on going,RSV-BLE.csv,RSV
2025-03-24,281820972264.102,on going,RSV-BLE.csv,RSV
2025-03-31,522753647553.122,on going,RSV-BLE.csv,RSV
2025-04-07,826274407559.755,on going,RSV-BLE.csv,RSV
2025-04-14,268265263647.617,on going,RSV-BLE.csv,RSV
2025-04-21,288057038531.965,on going,RSV-BLE.csv,RSV
2025-04-28,292171769132.13,end,RSV-BLE.csv,RSV
2025-05-05,267214720823.446,end,RSV-BLE.csv,RSV
2025-05-12,207766526264.162,end,RSV-BLE.csv,RSV
2025-05-19,0.0,end,RSV-BLE.csv,RSV
2025-05-26,283720862315.073,end,RSV-BLE.csv,RSV
2025-06-02,0.0,none,RSV-BLE.csv,RSV
2025-06-09,0.0,none,RSV-BLE.csv,RSV
2025-06-16,0.0,none,RSV-BLE.csv,RSV
2025-06-23,0.0,none,RSV-BLE.csv,RSV
2024-09-30,0.0,start,RSV-BLE.csv,RSV
2024-10-07,0.0,start,RSV-BLE.csv,RSV
2024-10-14,0.0,on going,RSV-BLE.csv,RSV
2024-10-21,0.0,on going,RSV-BLE.csv,RSV
2024-10-28,296109430234.177,on going,RSV-BLE.csv,RSV
2024-11-04,241654928879.872,on going,RSV-BLE.csv,RSV
2024-11-11,345920275554.972,on going,RSV-BLE.csv,RSV
2024-11-25,595502562539.077,on going,RSV-BLE.csv,RSV
2024-12-02,712796316316.433,on going,RSV-BLE.csv,RSV
2024-12-09,1878531065680.93,on going,RSV-BLE.csv,RSV
2024-12-16,1360966358823.07,on going,RSV-BLE.csv,RSV
2025-01-13,456960470763.526,on going,RSV-BLE.csv,RSV
2025-01-20,503800165903.666,on going,RSV-BLE.csv,RSV
2025-01-27,1384054332881.77,on going,RSV-BLE.csv,RSV
2025-02-03,0.0,on going,RSV-BLE.csv,RSV
2025-02-10,172090210159.195,on going,RSV-BLE.csv,RSV
2025-02-17,496353163702.219,on going,RSV-BLE.csv,RSV
2025-02-24,695377724775.221,on going,RSV-BLE.csv,RSV
2025-03-03,0.0,on going,RSV-BLE.csv,RSV
2025-03-10,878234258486.233,on going,RSV-BLE.csv,RSV
2025-03-17,443698682905.284,on going,RSV-BLE.csv,RSV
2025-03-24,281820972264.102,on going,RSV-BLE.csv,RSV
2025-03-31,522753647553.122,end,RSV-BLE.csv,RSV
2025-04-07,826274407559.755,end,RSV-BLE.csv,RSV
2025-04-14,268265263647.617,end,RSV-BLE.csv,RSV
2025-04-21,288057038531.965,end,RSV-BLE.csv,RSV
2025-04-28,292171769132.13,end,RSV-BLE.csv,RSV
2025-05-05,267214720823.446,end,RSV-BLE.csv,RSV
2025-05-12,207766526264.162,end,RSV-BLE.csv,RSV
2025-05-19,0.0,end,RSV-BLE.csv,RSV
2025-05-26,283720862315.073,end,RSV-BLE.csv,RSV
2025-06-02,0.0,none,RSV-BLE.csv,RSV
2025-06-09,0.0,none,RSV-BLE.csv,RSV
2025-06-16,0.0,none,RSV-BLE.csv,RSV
2025-06-23,0.0,none,RSV-BLE.csv,RSV
2024-09-30,0.0,none,RSV-BLE.csv,RSV
2024-10-07,0.0,none,RSV-BLE.csv,RSV
2024-10-14,0.0,none,RSV-BLE.csv,RSV
2024-10-21,0.0,none,RSV-BLE.csv,RSV
2024-10-28,296109430234.177,none,RSV-BLE.csv,RSV
2024-11-04,241654928879.872,start,RSV-BLE.csv,RSV
2024-11-11,345920275554.972,start,RSV-BLE.csv,RSV
2024-11-25,595502562539.077,start,RSV-BLE.csv,RSV
2024-12-02,712796316316.433,on going,RSV-BLE.csv,RSV
2024-12-09,1878531065680.93,on going,RSV-BLE.csv,RSV
2024-12-16,1360966358823.07,on going,RSV-BLE.csv,RSV
2025-01-13,456960470763.526,on going,RSV-BLE.csv,RSV
2025-01-20,503800165903.666,on going,RSV-BLE.csv,RSV
2025-01-27,1384054332881.77,on going,RSV-BLE.csv,RSV
2025-02-03,0.0,on going,RSV-BLE.csv,RSV
2025-02-10,172090210159.195,on going,RSV-BLE.csv,RSV
2025-02-17,496353163702.219,on going,RSV-BLE.csv,RSV
2025-02-24,695377724775.221,on going,RSV-BLE.csv,RSV
2025-03-03,0.0,on going,RSV-BLE.csv,RSV
2025-03-10,878234258486.233,on going,RSV-BLE.csv,RSV
2025-03-17,443698682905.284,on going,RSV-BLE.csv,RSV
2025-03-24,281820972264.102,on going,RSV-BLE.csv,RSV
2025-03-31,522753647553.122,end,RSV-BLE.csv,RSV
2025-04-07,826274407559.755,end,RSV-BLE.csv,RSV
2025-04-14,268265263647.617,end,RSV-BLE.csv,RSV
2025-04-21,288057038531.965,end,RSV-BLE.csv,RSV
2025-04-28,292171769132.13,end,RSV-BLE.csv,RSV
2025-05-05,267214720823.446,end,RSV-BLE.csv,RSV
2025-05-12,207766526264.162,none,RSV-BLE.csv,RSV
2025-05-19,0.0,none,RSV-BLE.csv,RSV
2025-05-26,283720862315.073,none,RSV-BLE.csv,RSV
2025-06-02,0.0,none,RSV-BLE.csv,RSV
2025-06-09,0.0,none,RSV-BLE.csv,RSV
2025-06-16,0.0,none,RSV-BLE.csv,RSV
2025-06-23,0.0,none,RSV-BLE.csv,RSV
