time,rna_copies,label,filename,virus
2025-05-19,0.0,none,FluA-ECH.csv,FLUA
2025-05-26,0.0,none,FluA-ECH.csv,FLUA
2025-06-02,0.0,none,FluA-ECH.csv,FLUA
2025-06-09,0.0,none,FluA-ECH.csv,FLUA
2025-06-16,0.0,none,FluA-ECH.csv,FLUA
2025-06-23,96259043569.2938,none,FluA-ECH.csv,FLUA
2024-09-30,0.0,none,FluA-ECH.csv,FLUA
2024-10-07,0.0,none,FluA-ECH.csv,FLUA
2024-10-14,0.0,none,FluA-ECH.csv,FLUA
2024-10-21,0.0,none,FluA-ECH.csv,FLUA
2024-10-28,0.0,none,FluA-ECH.csv,FLUA
2024-11-04,83263063226.6702,start,FluA-ECH.csv,FLUA
2024-11-11,0.0,start,FluA-ECH.csv,FLUA
2024-11-18,0.0,start,FluA-ECH.csv,FLUA
2024-11-25,133102281711.342,start,FluA-ECH.csv,FLUA
2024-12-02,0.0,start,FluA-ECH.csv,FLUA
2024-12-09,364923048674.353,start,FluA-ECH.csv,FLUA
2024-12-16,637030751191.071,start,FluA-ECH.csv,FLUA
2025-01-13,248977911124.183,on going,FluA-ECH.csv,FLUA
2025-01-20,1339850466263.14,on going,FluA-ECH.csv,FLUA
2025-01-27,4741648410177.02,on going,FluA-ECH.csv,FLUA
2025-02-03,654458134365.382,on going,FluA-ECH.csv,FLUA
2025-02-10,1122787963995.89,on going,FluA-ECH.csv,FLUA
2025-02-17,1887047871571.73,on going,FluA-ECH.csv,FLUA
2025-02-24,627328943738.875,on going,FluA-ECH.csv,FLUA
2025-03-03,1282486042313.17,on going,FluA-ECH.csv,FLUA
2025-03-10,360650796066.174,on going,FluA-ECH.csv,FLUA
2025-03-17,263039501614.055,on going,FluA-ECH.csv,FLUA
2025-03-24,161337734639.033,end,FluA-ECH.csv,FLUA
2025-03-31,0.0,end,FluA-ECH.csv,FLUA
2025-04-07,101703364098.131,end,FluA-ECH.csv,FLUA
2025-04-14,0.0,end,FluA-ECH.csv,FLUA
2025-04-21,121887575898.079,end,FluA-ECH.csv,FLUA
2025-04-28,0.0,end,FluA-ECH.csv,FLUA
2025-05-05,0.0,end,FluA-ECH.csv,FLUA
2025-05-12,0.0,none,FluA-ECH.csv,FLUA
2025-05-19,0.0,none,FluA-ECH.csv,FLUA
2025-05-26,0.0,none,FluA-ECH.csv,FLUA
2025-06-02,0.0,none,FluA-ECH.csv,FLUA
2025-06-09,0.0,none,FluA-ECH.csv,FLUA
2025-06-16,0.0,none,FluA-ECH.csv,FLUA
2025-06-23,96259043569.2938,none,FluA-ECH.csv,FLUA
2024-09-30,0.0,none,FluA-ECH.csv,FLUA
2024-10-07,0.0,none,FluA-ECH.csv,FLUA
2024-10-14,0.0,none,FluA-ECH.csv,FLUA
2024-10-21,0.0,start,FluA-ECH.csv,FLUA
2024-10-28,0.0,start,FluA-ECH.csv,FLUA
2024-11-04,83263063226.6702,start,FluA-ECH.csv,FLUA
2024-11-11,0.0,start,FluA-ECH.csv,FLUA
2024-11-18,0.0,start,FluA-ECH.csv,FLUA
2024-11-25,133102281711.342,start,FluA-ECH.csv,FLUA
2024-12-02,0.0,start,FluA-ECH.csv,FLUA
2024-12-09,364923048674.353,start,FluA-ECH.csv,FLUA
2024-12-16,637030751191.071,on going,FluA-ECH.csv,FLUA
2025-01-13,248977911124.183,on going,FluA-ECH.csv,FLUA
2025-01-20,1339850466263.14,on going,FluA-ECH.csv,FLUA
2025-01-27,4741648410177.02,on going,FluA-ECH.csv,FLUA
2025-02-03,654458134365.382,on going,FluA-ECH.csv,FLUA
2025-02-10,1122787963995.89,on going,FluA-ECH.csv,FLUA
2025-02-17,1887047871571.73,on going,FluA-ECH.csv,FLUA
2025-02-24,627328943738.875,on going,FluA-ECH.csv,FLUA
2025-03-03,1282486042313.17,on going,FluA-ECH.csv,FLUA
2025-03-10,360650796066.174,on going,FluA-ECH.csv,FLUA
2025-03-17,263039501614.055,on going,FluA-ECH.csv,FLUA
2025-03-24,161337734639.033,on going,FluA-ECH.csv,FLUA
2025-03-31,0.0,end,FluA-ECH.csv,FLUA
2025-04-07,101703364098.131,end,FluA-ECH.csv,FLUA
2025-04-14,0.0,end,FluA-ECH.csv,FLUA
2025-04-21,121887575898.079,end,FluA-ECH.csv,FLUA
2025-04-28,0.0,end,FluA-ECH.csv,FLUA
2025-05-05,0.0,none,FluA-ECH.csv,FLUA
2025-05-12,0.0,none,FluA-ECH.csv,FLUA
2025-05-19,0.0,none,FluA-ECH.csv,FLUA
2025-05-26,0.0,none,FluA-ECH.csv,FLUA
2025-06-02,0.0,none,FluA-ECH.csv,FLUA
2025-06-09,0.0,none,FluA-ECH.csv,FLUA
2025-06-16,0.0,none,FluA-ECH.csv,FLUA
2025-06-23,96259043569.2938,none,FluA-ECH.csv,FLUA
2024-09-30,0.0,none,FluA-ECH.csv,FLUA
2024-10-07,0.0,none,FluA-ECH.csv,FLUA
2024-10-14,0.0,start,FluA-ECH.csv,FLUA
2024-10-21,0.0,start,FluA-ECH.csv,FLUA
2024-10-28,0.0,start,FluA-ECH.csv,FLUA
2024-11-04,83263063226.6702,start,FluA-ECH.csv,FLUA
2024-11-11,0.0,start,FluA-ECH.csv,FLUA
2024-11-18,0.0,start,FluA-ECH.csv,FLUA
2024-11-25,133102281711.342,start,FluA-ECH.csv,FLUA
2024-12-02,0.0,on going,FluA-ECH.csv,FLUA
2024-12-09,364923048674.353,on going,FluA-ECH.csv,FLUA
2024-12-16,637030751191.071,on going,FluA-ECH.csv,FLUA
2025-01-13,248977911124.183,on going,FluA-ECH.csv,FLUA
2025-01-20,1339850466263.14,on going,FluA-ECH.csv,FLUA
2025-01-27,4741648410177.02,on going,FluA-ECH.csv,FLUA
2025-02-03,654458134365.382,on going,FluA-ECH.csv,FLUA
2025-02-10,1122787963995.89,on going,FluA-ECH.csv,FLUA
2025-02-17,1887047871571.73,on going,FluA-ECH.csv,FLUA
2025-02-24,627328943738.875,on going,FluA-ECH.csv,FLUA
2025-03-03,1282486042313.17,on going,FluA-ECH.csv,FLUA
2025-03-10,360650796066.174,on going,FluA-ECH.csv,FLUA
2025-03-17,263039501614.055,on going,FluA-ECH.csv,FLUA
2025-03-24,161337734639.033,end,FluA-ECH.csv,FLUA
2025-03-31,0.0,end,FluA-ECH.csv,FLUA
2025-04-07,101703364098.131,end,FluA-ECH.csv,FLUA
2025-04-14,0.0,end,FluA-ECH.csv,FLUA
2025-04-21,121887575898.079,end,FluA-ECH.csv,FLUA
2025-04-28,0.0,end,FluA-ECH.csv,FLUA
2025-05-05,0.0,end,FluA-ECH.csv,FLUA
2025-05-12,0.0,end,FluA-ECH.csv,FLUA
2025-05-19,0.0,end,FluA-ECH.csv,FLUA
2025-05-26,0.0,end,FluA-ECH.csv,FLUA
2025-06-02,0.0,none,FluA-ECH.csv,FLUA
2025-06-09,0.0,none,FluA-ECH.csv,FLUA
2025-06-16,0.0,none,FluA-ECH.csv,FLUA
2025-06-23,96259043569.2938,none,FluA-ECH.csv,FLUA
2024-09-30,0.0,none,FluA-ECH.csv,FLUA
2024-10-07,0.0,none,FluA-ECH.csv,FLUA
2024-10-14,0.0,none,FluA-ECH.csv,FLUA
2024-10-21,0.0,none,FluA-ECH.csv,FLUA
2024-10-28,0.0,none,FluA-ECH.csv,FLUA
2024-11-04,83263063226.6702,none,FluA-ECH.csv,FLUA
2024-11-11,0.0,none,FluA-ECH.csv,FLUA
2024-11-18,0.0,none,FluA-ECH.csv,FLUA
2024-11-25,133102281711.342,start,FluA-ECH.csv,FLUA
2024-12-02,0.0,start,FluA-ECH.csv,FLUA
2024-12-09,364923048674.353,start,FluA-ECH.csv,FLUA
2024-12-16,637030751191.071,start,FluA-ECH.csv,FLUA
2025-01-13,248977911124.183,on going,FluA-ECH.csv,FLUA
2025-01-20,1339850466263.14,on going,FluA-ECH.csv,FLUA
2025-01-27,4741648410177.02,on going,FluA-ECH.csv,FLUA
2025-02-03,654458134365.382,on going,FluA-ECH.csv,FLUA
2025-02-10,1122787963995.89,on going,FluA-ECH.csv,FLUA
2025-02-17,1887047871571.73,on going,FluA-ECH.csv,FLUA
2025-02-24,627328943738.875,on going,FluA-ECH.csv,FLUA
2025-03-03,1282486042313.17,on going,FluA-ECH.csv,FLUA
2025-03-10,360650796066.174,on going,FluA-ECH.csv,FLUA
2025-03-17,263039501614.055,end,FluA-ECH.csv,FLUA
2025-03-24,161337734639.033,end,FluA-ECH.csv,FLUA
2025-03-31,0.0,end,FluA-ECH.csv,FLUA
2025-04-07,101703364098.131,end,FluA-ECH.csv,FLUA
2025-04-14,0.0,end,FluA-ECH.csv,FLUA
2025-04-21,121887575898.079,end,FluA-ECH.csv,FLUA
2025-04-28,0.0,end,FluA-ECH.csv,FLUA
2025-05-05,0.0,end,FluA-ECH.csv,FLUA
2025-05-12,0.0,none,FluA-ECH.csv,FLUA
2025-05-19,0.0,none,FluA-ECH.csv,FLUA
2025-05-26,0.0,none,FluA-ECH.csv,FLUA
2025-06-02,0.0,none,FluA-ECH.csv,FLUA
2025-06-09,0.0,none,FluA-ECH.csv,FLUA
2025-06-16,0.0,none,FluA-ECH.csv,FLUA
2025-06-23,96259043569.2938,none,FluA-ECH.csv,FLUA
2024-09-30,0.0,none,FluA-ECH.csv,FLUA
2024-10-07,0.0,none,FluA-ECH.csv,FLUA
2024-10-14,0.0,none,FluA-ECH.csv,FLUA
2024-10-21,0.0,none,FluA-ECH.csv,FLUA
2024-10-28,0.0,none,FluA-ECH.csv,FLUA
2024-11-04,83263063226.6702,none,FluA-ECH.csv,FLUA
2024-11-11,0.0,start,FluA-ECH.csv,FLUA
2024-11-18,0.0,start,FluA-ECH.csv,FLUA
2024-11-25,133102281711.342,start,FluA-ECH.csv,FLUA
2024-12-02,0.0,start,FluA-ECH.csv,FLUA
2024-12-09,364923048674.353,start,FluA-ECH.csv,FLUA
2024-12-16,637030751191.071,start,FluA-ECH.csv,FLUA
2025-01-13,248977911124.183,on going,FluA-ECH.csv,FLUA
2025-01-20,1339850466263.14,on going,FluA-ECH.csv,FLUA
2025-01-27,4741648410177.02,on going,FluA-ECH.csv,FLUA
2025-02-03,654458134365.382,on going,FluA-ECH.csv,FLUA
2025-02-10,1122787963995.89,on going,FluA-ECH.csv,FLUA
2025-02-17,1887047871571.73,on going,FluA-ECH.csv,FLUA
2025-02-24,627328943738.875,on going,FluA-ECH.csv,FLUA
2025-03-03,1282486042313.17,on going,FluA-ECH.csv,FLUA
2025-03-10,360650796066.174,on going,FluA-ECH.csv,FLUA
2025-03-17,263039501614.055,end,FluA-ECH.csv,FLUA
2025-03-24,161337734639.033,end,FluA-ECH.csv,FLUA
2025-03-31,0.0,end,FluA-ECH.csv,FLUA
2025-04-07,101703364098.131,end,FluA-ECH.csv,FLUA
2025-04-14,0.0,end,FluA-ECH.csv,FLUA
2025-04-21,121887575898.079,end,FluA-ECH.csv,FLUA
2025-04-28,0.0,end,FluA-ECH.csv,FLUA
2025-05-05,0.0,none,FluA-ECH.csv,FLUA
2025-05-12,0.0,none,FluA-ECH.csv,FLUA
2025-05-19,0.0,none,FluA-ECH.csv,FLUA
2025-05-26,0.0,none,FluA-ECH.csv,FLUA
2025-06-02,0.0,none,FluA-ECH.csv,FLUA
2025-06-09,0.0,none,FluA-ECH.csv,FLUA
2025-06-16,0.0,none,FluA-ECH.csv,FLUA
2025-06-23,96259043569.2938,none,FluA-ECH.csv,FLUA
2024-09-30,0.0,none,FluA-ECH.csv,FLUA
2024-10-07,0.0,none,FluA-ECH.csv,FLUA
2024-10-14,0.0,none,FluA-ECH.csv,FLUA
2024-10-21,0.0,none,FluA-ECH.csv,FLUA
2024-10-28,0.0,start,FluA-ECH.csv,FLUA
2024-11-04,83263063226.6702,start,FluA-ECH.csv,FLUA
2024-11-11,0.0,start,FluA-ECH.csv,FLUA
2024-11-18,0.0,start,FluA-ECH.csv,FLUA
2024-11-25,133102281711.342,start,FluA-ECH.csv,FLUA
2024-12-02,0.0,start,FluA-ECH.csv,FLUA
2024-12-09,364923048674.353,on going,FluA-ECH.csv,FLUA
2024-12-16,637030751191.071,on going,FluA-ECH.csv,FLUA
2025-01-13,248977911124.183,on going,FluA-ECH.csv,FLUA
2025-01-20,1339850466263.14,on going,FluA-ECH.csv,FLUA
2025-01-27,4741648410177.02,on going,FluA-ECH.csv,FLUA
2025-02-03,654458134365.382,on going,FluA-ECH.csv,FLUA
2025-02-10,1122787963995.89,on going,FluA-ECH.csv,FLUA
2025-02-17,1887047871571.73,on going,FluA-ECH.csv,FLUA
2025-02-24,627328943738.875,on going,FluA-ECH.csv,FLUA
2025-03-03,1282486042313.17,on going,FluA-ECH.csv,FLUA
2025-03-10,360650796066.174,on going,FluA-ECH.csv,FLUA
2025-03-17,263039501614.055,on going,FluA-ECH.csv,FLUA
2025-03-24,161337734639.033,end,FluA-ECH.csv,FLUA
2025-03-31,0.0,end,FluA-ECH.csv,FLUA
2025-04-07,101703364098.131,end,FluA-ECH.csv,FLUA
2025-04-14,0.0,end,FluA-ECH.csv,FLUA
2025-04-21,121887575898.079,end,FluA-ECH.csv,FLUA
2025-04-28,0.0,end,FluA-ECH.csv,FLUA
2025-05-05,0.0,end,FluA-ECH.csv,FLUA
2025-05-12,0.0,none,FluA-ECH.csv,FLUA
2025-05-19,0.0,none,FluA-ECH.csv,FLUA
2025-05-26,0.0,none,FluA-ECH.csv,FLUA
2025-06-02,0.0,none,FluA-ECH.csv,FLUA
2025-06-09,0.0,none,FluA-ECH.csv,FLUA
2025-06-16,0.0,none,FluA-ECH.csv,FLUA
2025-06-23,96259043569.2938,none,FluA-ECH.csv,FLUA
