time,rna_copies,label
2024-05-13,-0.0016804686247828974,SARS
2024-05-20,-0.0016804686247828974,SARS
2024-05-27,-0.0016804686247828974,SARS
2024-06-03,-0.0016804686247828974,SARS
2024-06-10,-0.0016804686247828974,SARS
2024-06-17,-0.0016804686247828974,SARS
2024-06-24,-0.0016804686247828974,SARS
2024-07-01,-0.0016804686247828974,SARS
2024-07-08,-0.0016804686247828974,SARS
2024-07-15,-0.0016804686247828974,SARS
2024-07-22,-0.0016804686247828974,SARS
2024-07-29,-0.0016804686247828974,SARS
2024-08-05,-0.0016804686247828974,SARS
2024-08-12,-0.0016804686247828974,SARS
2024-08-19,-0.0016804686247828974,SARS
2024-08-26,-0.0016804686247828974,SARS
2024-09-02,-0.0016804686247828974,SARS
2024-09-09,-0.0016804686247828974,SARS
2024-09-16,-0.0016804686247828974,SARS
2024-09-23,-0.0016804686247828974,SARS
2024-09-30,-0.0016804686247828974,SARS
2024-10-07,-0.0016804686247828974,SARS
2024-10-14,-0.0016804686247828974,SARS
2024-10-21,-0.0016804686247828974,SARS
2024-10-28,-0.0016804686247828974,SARS
2024-11-04,-0.0016804686247828974,SARS
2024-11-11,-0.0016804686247828974,SARS
2024-11-18,-0.0016804686247828974,SARS
2024-11-25,-0.0016804686247828974,SARS
2024-12-02,-0.0016804686247828974,SARS
2024-12-09,-0.0016804686247828974,SARS
2024-12-16,-0.0016804686247828974,SARS
2024-12-23,-0.0016804686247828974,SARS
2025-01-06,-0.0016804686247828974,SARS
2025-01-13,-0.0016804686247828974,SARS
2025-01-20,-0.0016804686247828974,SARS
2025-01-27,-0.0016804686247828974,SARS
2025-02-03,-0.0016804686247828974,SARS
2025-02-10,-0.0016804686247828974,SARS
2025-02-17,-0.0016804686247828974,SARS
2025-02-24,-0.0016804686247828974,SARS
2025-03-03,-0.0016804686247828974,SARS
2025-03-10,-0.0016804686247828974,SARS
2025-03-17,-0.0016804686247828974,SARS
2025-03-24,-0.0016804686247828974,SARS
2025-03-31,-0.0016804686247828974,SARS
2025-04-07,-0.0016804686247828974,SARS
2025-04-14,-0.0016804686247828974,SARS
2025-04-21,-0.0016804686247828974,SARS
2025-04-28,-0.0016804686247828974,SARS
2025-05-05,-0.0016804686247828974,SARS
2025-05-12,-0.0016804686247828974,SARS
2025-05-19,-0.0016804686247828974,SARS
2025-05-26,-0.0016804686247828974,SARS
2025-06-02,0.0589182588712121,SARS
2025-06-09,0.08921762261920961,SARS
2025-06-16,0.09090116066948566,SARS
2025-06-23,0.061443565946626214,SARS
